PlantID,DeviceID,Timestamp,Temperature_C,Humidity_%,Vibration_mm_s,Pressure_bar,Energy_kWh,Status
Plant_03,Dev_201,2025-08-14T00:00:00Z,75.2,40.5,1.0,1.00,16.4,OK
Plant_03,Dev_202,2025-08-14T00:05:00Z,75.5,40.3,1.1,1.01,16.6,OK
Plant_03,Dev_203,2025-08-14T00:10:00Z,75.1,40.6,1.0,1.00,16.3,OK
Plant_03,Dev_201,2025-08-14T00:15:00Z,75.3,40.4,1.0,1.00,16.5,OK
Plant_03,Dev_202,2025-08-14T00:20:00Z,75.6,40.2,1.1,1.01,16.7,OK
Plant_03,Dev_203,2025-08-14T00:25:00Z,75.0,40.7,1.0,1.00,16.2,OK
Plant_03,Dev_201,2025-08-14T00:30:00Z,75.4,40.5,1.0,1.00,16.4,OK
Plant_03,Dev_202,2025-08-14T00:35:00Z,75.7,40.1,1.1,1.01,16.8,OK
Plant_03,Dev_203,2025-08-14T00:40:00Z,75.1,40.6,1.0,1.00,16.3,OK
Plant_03,Dev_201,2025-08-14T00:45:00Z,75.3,40.3,1.0,1.00,16.5,OK
Plant_03,Dev_202,2025-08-14T00:50:00Z,75.5,40.2,1.1,1.01,16.6,OK
Plant_03,Dev_203,2025-08-14T00:55:00Z,75.0,40.7,1.0,1.00,16.2,OK
Plant_03,Dev_201,2025-08-14T01:00:00Z,75.4,40.5,1.0,1.00,16.4,OK
Plant_03,Dev_202,2025-08-14T01:05:00Z,75.6,40.2,1.1,1.01,16.7,OK
Plant_03,Dev_203,2025-08-14T01:10:00Z,75.1,40.6,1.0,1.00,16.3,OK
Plant_03,Dev_201,2025-08-14T01:15:00Z,75.3,40.4,1.0,1.00,16.5,OK
Plant_03,Dev_202,2025-08-14T01:20:00Z,75.7,40.1,1.1,1.01,16.8,OK
Plant_03,Dev_203,2025-08-14T01:25:00Z,75.0,40.7,1.0,1.00,16.2,OK
Plant_03,Dev_201,2025-08-14T01:30:00Z,75.4,40.5,1.0,1.00,16.4,OK
Plant_03,Dev_202,2025-08-14T01:35:00Z,75.6,40.2,1.1,1.01,16.7,OK
Plant_03,Dev_203,2025-08-14T01:40:00Z,75.1,40.6,1.0,1.00,16.3,OK
Plant_03,Dev_201,2025-08-14T01:45:00Z,75.3,40.3,1.0,1.00,16.5,OK
Plant_03,Dev_202,2025-08-14T01:50:00Z,75.7,40.1,1.1,1.01,16.8,OK
Plant_03,Dev_203,2025-08-14T01:55:00Z,75.0,40.7,1.0,1.00,16.2,OK
Plant_03,Dev_201,2025-08-14T02:00:00Z,75.4,40.5,1.0,1.00,16.4,OK
Plant_03,Dev_202,2025-08-14T02:05:00Z,75.6,40.2,1.1,1.01,16.7,OK
Plant_03,Dev_203,2025-08-14T02:10:00Z,75.1,40.6,1.0,1.00,16.3,OK
Plant_03,Dev_201,2025-08-14T02:15:00Z,75.3,40.4,1.0,1.00,16.5,OK
Plant_03,Dev_202,2025-08-14T02:20:00Z,75.5,40.3,1.1,1.01,16.6,OK
Plant_03,Dev_203,2025-08-14T02:25:00Z,75.0,40.7,1.0,1.00,16.2,OK
