PlantID,DeviceID,Timestamp,Temperature_C,Humidity_%,Vibration_mm_s,Pressure_bar,Energy_kWh,Status
Plant_02,Dev_101,2025-08-14T00:00:00Z,68.5,50.1,1.5,1.03,12.7,OK
Plant_02,Dev_102,2025-08-14T00:05:00Z,69.0,49.8,1.4,1.02,12.9,OK
Plant_02,Dev_103,2025-08-14T00:10:00Z,68.7,50.3,1.6,1.04,12.5,OK
Plant_02,Dev_101,2025-08-14T00:15:00Z,68.9,50.0,1.5,1.03,12.8,OK
Plant_02,Dev_102,2025-08-14T00:20:00Z,69.1,49.7,1.4,1.02,13.0,OK
Plant_02,Dev_103,2025-08-14T00:25:00Z,68.6,50.2,1.6,1.04,12.6,OK
Plant_02,Dev_101,2025-08-14T00:30:00Z,68.8,50.1,1.5,1.03,12.7,OK
Plant_02,Dev_102,2025-08-14T00:35:00Z,69.2,49.6,1.4,1.02,13.1,OK
Plant_02,Dev_103,2025-08-14T00:40:00Z,68.5,50.3,1.6,1.04,12.5,OK
Plant_02,Dev_101,2025-08-14T00:45:00Z,68.7,50.0,1.5,1.03,12.8,OK
Plant_02,Dev_102,2025-08-14T00:50:00Z,69.0,49.8,1.4,1.02,13.0,OK
Plant_02,Dev_103,2025-08-14T00:55:00Z,68.6,50.2,1.6,1.04,12.6,OK
Plant_02,Dev_101,2025-08-14T01:00:00Z,68.8,50.1,1.5,1.03,12.7,OK
Plant_02,Dev_102,2025-08-14T01:05:00Z,69.1,49.7,1.4,1.02,13.0,OK
Plant_02,Dev_103,2025-08-14T01:10:00Z,68.5,50.3,1.6,1.04,12.5,OK
Plant_02,Dev_101,2025-08-14T01:15:00Z,68.7,50.0,1.5,1.03,12.8,OK
Plant_02,Dev_102,2025-08-14T01:20:00Z,69.2,49.6,1.4,1.02,13.1,OK
Plant_02,Dev_103,2025-08-14T01:25:00Z,68.6,50.2,1.6,1.04,12.6,OK
Plant_02,Dev_101,2025-08-14T01:30:00Z,68.8,50.1,1.5,1.03,12.7,OK
Plant_02,Dev_102,2025-08-14T01:35:00Z,69.0,49.8,1.4,1.02,13.0,OK
Plant_02,Dev_103,2025-08-14T01:40:00Z,68.5,50.3,1.6,1.04,12.5,OK
Plant_02,Dev_101,2025-08-14T01:45:00Z,68.7,50.0,1.5,1.03,12.8,OK
Plant_02,Dev_102,2025-08-14T01:50:00Z,69.1,49.7,1.4,1.02,13.0,OK
Plant_02,Dev_103,2025-08-14T01:55:00Z,68.6,50.2,1.6,1.04,12.6,OK
Plant_02,Dev_101,2025-08-14T02:00:00Z,68.8,50.1,1.5,1.03,12.7,OK
Plant_02,Dev_102,2025-08-14T02:05:00Z,69.2,49.6,1.4,1.02,13.1,OK
Plant_02,Dev_103,2025-08-14T02:10:00Z,68.5,50.3,1.6,1.04,12.5,OK
Plant_02,Dev_101,2025-08-14T02:15:00Z,68.7,50.0,1.5,1.03,12.8,OK
Plant_02,Dev_102,2025-08-14T02:20:00Z,69.0,49.8,1.4,1.02,13.0,OK
Plant_02,Dev_103,2025-08-14T02:25:00Z,68.6,50.2,1.6,1.04,12.6,OK
